zip_code,median_income,store_count
02896,108983.0,1
02898,119038.0,1
02903,64476.0,0
02904,67003.0,3
02905,62908.0,1
02906,103050.0,0
02907,52485.0,1
02908,73081.0,0
02909,64649.0,1
02910,90698.0,2
02911,89456.0,0
02912,116937.23943661971,0
02914,61191.0,1
02915,84414.0,0
02916,95263.0,1
02917,110938.0,0
02918,116937.23943661971,0
02919,91775.0,1
02920,80717.0,0
02921,147204.0,1
03031,153125.0,0
03032,153253.0,0
03033,171046.0,0
03034,131350.0,0
03036,142212.0,0
03037,130371.0,0
03038,108322.0,1
03042,104220.0,1
03043,104063.0,0
03044,120781.0,0
03045,119205.0,1
03046,124348.0,0
03047,103603.0,0
03048,90451.0,0
03049,168883.0,0
03051,124213.0,2
03052,162036.0,0
03053,134038.0,1
03054,127303.0,1
03055,97768.0,1
03057,156250.0,0
03060,79855.0,2
03062,107540.0,1
03063,107630.0,0
03064,96393.0,0
03070,154000.0,0
03071,110507.0,0
03076,135956.0,1
03077,104597.0,1
03079,110490.0,1
03082,120313.0,0
03084,94107.0,0
03086,113750.0,0
03087,189583.0,1
03101,84434.0,0
03102,74327.0,1
03103,73540.0,2
03104,88897.0,0
03106,118442.0,1
03109,108144.0,1
03110,167418.0,0
03215,105625.0,0
03216,88311.0,0
03217,54607.0,0
03218,112500.0,0
03220,68242.0,0
03221,109803.0,0
03222,81587.0,0
03223,118534.0,0
03224,138125.0,0
03225,111660.0,0
03226,107500.0,0
03227,146917.0,0
03229,137386.0,0
03230,71685.0,0
03231,102248.21632653062,0
03233,120156.0,0
03234,97941.0,1
03235,71775.0,1
03237,111359.0,0
03238,47067.0,0
03240,81563.0,0
03241,91375.0,0
03242,95206.0,0
03243,83333.0,0
03244,86375.0,1
03245,107863.0,0
03246,73241.0,1
03249,116635.0,0
03251,70625.0,1
03253,84719.0,1
03254,106440.0,0
03255,117045.0,0
03256,87917.0,0
03257,107000.0,0
03258,108906.0,0
03259,84872.0,0
03260,117000.0,0
03261,129375.0,0
03262,85667.0,0
03263,74318.0,0
03264,76892.0,1
03266,76071.0,0
03268,111818.0,0
03269,107083.0,0
03273,187979.0,0
03275,82910.0,0
03276,82425.0,1
03278,94783.0,1
03279,70313.0,0
03280,90096.0,0
03281,118271.0,0
03282,98333.0,0
03284,113158.0,0
03285,90022.0,0
03287,117759.0,0
03290,122201.0,0
03291,102248.21632653062,0
03293,86250.0,0
03301,86840.0,2
03303,80456.0,1
03304,172857.0,0
03307,107226.0,0
03431,79541.0,1
03440,88889.0,0
03441,53816.0,0
03442,83875.0,0
03443,102248.21632653062,0
03444,104773.0,0
03445,106667.0,0
03446,85484.0,0
03447,100735.0,0
03448,80417.0,0
03449,92708.0,0
03450,103036.0,0
03451,69191.0,0
03452,92330.0,1
03455,69395.0,0
03456,110455.0,0
03457,100625.0,0
03458,98684.0,0
03461,102679.0,0
03462,115313.0,0
03464,93625.0,0
03465,88871.0,0
03466,83281.0,0
03467,104444.0,0
03470,79028.0,0
03561,56746.0,1
03570,45180.0,0
03574,81250.0,0
03575,102248.21632653062,0
03576,52682.0,0
03579,61000.0,0
03580,91250.0,0
03581,64127.0,1
03582,46250.0,0
03583,67188.0,0
03584,66768.0,1
03585,68594.0,0
03586,154091.0,0
03588,71538.0,0
03590,52803.0,0
03592,61094.0,0
03593,101750.0,0
03595,64762.0,0
03597,56010.0,0
03598,67179.0,0
03601,81250.0,0
03602,70455.0,0
03603,56731.0,0
03604,102248.21632653062,0
03605,86250.0,0
03607,84306.0,0
03608,88224.0,0
03609,72391.0,0
03740,67813.0,0
03741,82181.0,0
03743,59625.0,1
03745,91821.0,0
03748,95089.0,0
03750,102248.21632653062,0
03751,102248.21632653062,0
03752,70417.0,0
03753,106285.0,0
03755,165884.0,0
03765,79625.0,0
03766,100881.0,0
03768,133906.0,0
03770,153750.0,0
03771,88150.0,0
03773,81232.0,1
03774,58452.0,0
03777,92571.0,0
03779,80000.0,0
03780,189550.0,0
03781,109659.0,0
03782,110175.0,0
03784,91000.0,1
03785,57902.0,1
03801,106756.0,2
03809,106397.0,1
03810,148261.0,0
03811,146380.0,0
03812,102248.21632653062,0
03813,56951.0,0
03814,77138.0,0
03816,88971.0,0
03817,102248.21632653062,0
03818,77134.0,1
03819,112335.0,0
03820,94897.0,1
03823,148365.0,0
03824,124056.0,0
03825,110323.0,0
03826,121184.0,0
03827,142794.0,0
03830,99960.0,0
03832,79063.0,0
03833,119393.0,1
03835,66982.0,0
03836,66136.0,0
03837,119712.0,0
03838,68385.0,0
03839,88346.0,0
03840,162837.0,1
03841,104044.0,0
03842,95422.0,1
03844,165509.0,0
03845,57320.0,0
03846,117986.0,0
03847,102248.21632653062,0
03848,105330.0,0
03849,96439.0,0
03850,101298.0,0
03851,93412.0,0
03852,154583.0,0
03853,103900.0,0
