,Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some Other Race alone,Margin of Error!!Total:!!Some Other Race alone,Estimate!!Total:!!Two or More Races:,Margin of Error!!Total:!!Two or More Races:,Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race,Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race,"Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",,ZIP,GEO_ID,median household income
84,860Z200US43136,ZCTA5 43136,2216,127,1776,173,95,52,9,14,29,45,0,13,129,113,178,112,4,6,174,112,,43136,860Z200US43136,114375
85,860Z200US43137,ZCTA5 43137,2415,572,2059,602,81,136,0,13,0,13,0,13,8,6,267,207,108,78,159,183,,43137,860Z200US43137,49145
86,860Z200US43138,ZCTA5 43138,18906,724,17935,795,54,65,9,15,79,77,0,20,251,195,578,286,234,201,344,158,,43138,860Z200US43138,68051
87,860Z200US43140,ZCTA5 43140,24237,526,19858,523,1893,302,61,59,523,207,14,21,210,105,1678,354,395,195,1283,263,,43140,860Z200US43140,83644
88,860Z200US43142,ZCTA5 43142,107,72,96,70,0,13,0,13,0,13,0,13,0,13,11,18,0,13,11,18,,43142,860Z200US43142,55833
89,860Z200US43143,ZCTA5 43143,5803,530,5570,541,15,14,0,18,0,18,0,18,4,7,214,126,97,100,117,96,,43143,860Z200US43143,100333
90,860Z200US43144,ZCTA5 43144,295,111,294,110,0,13,0,13,0,13,0,13,0,13,1,3,0,13,1,3,,43144,860Z200US43144,34732
91,860Z200US43145,ZCTA5 43145,2070,449,2000,439,0,13,0,13,0,13,0,13,0,13,70,72,39,42,31,36,,43145,860Z200US43145,73500
92,860Z200US43146,ZCTA5 43146,13387,811,11171,779,1444,231,59,57,18,21,0,20,53,32,642,170,94,60,548,147,,43146,860Z200US43146,81191
93,860Z200US43147,ZCTA5 43147,46963,837,30975,1002,9805,913,36,49,2668,495,0,27,456,332,3023,651,931,343,2092,537,,43147,860Z200US43147,126534
94,860Z200US43148,ZCTA5 43148,1898,428,1829,410,7,13,0,13,0,13,0,13,15,24,47,55,28,45,19,24,,43148,860Z200US43148,72072
95,860Z200US43149,ZCTA5 43149,2129,365,2049,359,0,13,3,5,48,69,0,13,0,13,29,36,14,23,15,26,,43149,860Z200US43149,57500
96,860Z200US43150,ZCTA5 43150,2300,488,2162,455,0,13,0,13,0,13,73,94,3,5,62,53,0,13,62,53,,43150,860Z200US43150,75284
97,860Z200US43151,ZCTA5 43151,233,91,223,91,0,13,0,13,0,13,0,13,5,9,5,8,4,8,1,3,,43151,860Z200US43151,62292
